0 0
1000 1.802ms
2000 3.452ms
3000 5.792ms
4000 8.165ms
5000 11.244ms
6000 11.872ms
7000 16.465ms
8000 16.539ms
9000 21.854ms
10000 23.015ms
11000 27.099ms
12000 27.299ms
13000 32.089ms
14000 33.704ms
15000 35.426ms
16000 38.563ms
17000 45.222ms
18000 44.905ms
19000 50.096ms
20000 50.164ms
21000 54.49ms
22000 55.577ms
23000 61.791ms
24000 59.48ms
25000 69.263ms
26000 65.355ms
27000 72.372ms
28000 71.421ms
29000 80.259ms
30000 76.862ms
31000 81.477ms
32000 83.195ms
33000 106.598ms
34000 103.612ms
35000 110.537ms
36000 102.636ms
37000 118.875ms
38000 112.406ms
39000 124.737ms
40000 122.059ms
41000 116.288ms
42000 115.999ms
43000 132.124ms
44000 135.313ms
45000 137.306ms
46000 147.141ms
47000 135.902ms
48000 140.86ms
49000 146.819ms
50000 148.223ms
51000 146.738ms
52000 148.638ms
53000 158.86ms
54000 174.802ms
55000 154.519ms
56000 160.18ms
57000 178.15ms
58000 163.177ms
59000 181.392ms
60000 205.176ms
61000 173.827ms
62000 177.439ms
63000 177.521ms
64000 179.223ms
65000 193.818ms
66000 213.207ms
67000 207.125ms
68000 219.227ms
69000 246.497ms
70000 225.498ms
71000 235.765ms
72000 229.663ms
73000 221.369ms
74000 237.813ms
75000 241.097ms
76000 242.921ms
77000 233.962ms
78000 239.275ms
79000 247.382ms
80000 240.348ms
81000 255.843ms
82000 278.745ms
83000 295.13ms
84000 257.302ms
85000 260.7ms
86000 287.312ms
87000 265.515ms
88000 267.751ms
89000 292.672ms
90000 272.216ms
91000 298.504ms
92000 293.247ms
93000 293.957ms
94000 291.227ms
95000 280.632ms
96000 297.482ms
97000 302.782ms
98000 299.39ms
99000 307.346ms
